"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2020-05-24","","","","","","","","",""
"Ranking as of 1st May 2020","","","","","","","","",""
"","","","","","","","","",""
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats*","Women","% W","Elections","Seats*","Women","% W"
"131","Madagascar","05.2019","151","24","15.89","12.2015","62","12","19.35"
"132","Guinea","03.2020","114","18","15.79","-","-","-","-"
"133","Russian Federation","09.2016","450","71","15.78","-","170","29","17.06"
"134","Thailand","03.2019","489","77","15.75","05.2019","250","26","10.4"
"135","Chad","05.2011","162","25","15.43","-","-","-","-"
"136","Jordan","09.2016","130","20","15.38","09.2016","65","10","15.38"
"137","Egypt","12.2015","596","90","15.1","-","-","-","-"
"138","Bahrain","12.2018","40","6","15","12.2018","40","9","22.5"
"139","Bhutan","10.2018","47","7","14.89","04.2018","25","4","16"
"140","Gabon","10.2018","142","21","14.79","12.2014","100","18","18"
"141","Brazil","10.2018","513","75","14.62","10.2018","81","11","13.58"
"142","Sao Tome and Principe","10.2018","55","8","14.55","-","-","-","-"
"143","Malaysia","05.2018","222","32","14.41","-","68","13","19.12"
"144","India","05.2019","543","78","14.36","07.2018","240","25","10.42"
"145","Georgia","10.2016","149","21","14.09","-","-","-","-"
"146","Guinea-Bissau","03.2019","102","14","13.73","-","-","-","-"
"147","Malta","06.2017","67","9","13.43","-","-","-","-"
"148","Burkina Faso","11.2015","127","17","13.39","-","-","-","-"
"149","Ghana","12.2016","275","36","13.09","-","-","-","-"
"150","Saint Vincent and the Grenadines","12.2015","23","3","13.04","-","-","-","-"
"151","Bahamas","05.2017","39","5","12.82","05.2017","16","7","43.75"
"152","Democratic Republic of the Congo","03.2019","500","64","12.8","03.2019","109","23","21.1"
"153","Palau","11.2016","16","2","12.5","11.2016","13","2","15.38"
"154","Syrian Arab Republic","04.2016","250","31","12.4","-","-","-","-"
"155","Liberia","10.2017","73","9","12.33","12.2014","30","1","3.33"
"“","Sierra Leone","03.2018","146","18","12.33","-","-","-","-"
"157","Hungary","04.2018","199","24","12.06","-","-","-","-"
"158","Liechtenstein","02.2017","25","3","12","-","-","-","-"
"159","Côte d'Ivoire","12.2016","255","29","11.37","03.2018","99","19","19.19"
"160","Congo","07.2017","151","17","11.26","08.2017","69","13","18.84"
"161","Antigua and Barbuda","03.2018","18","2","11.11","03.2018","17","9","52.94"
"“","Myanmar","11.2015","432","48","11.11","11.2015","223","27","12.11"
"163","Botswana","10.2019","65","7","10.77","-","-","-","-"
"164","Nauru","08.2019","19","2","10.53","-","-","-","-"
"165","Samoa","03.2016","50","5","10","-","-","-","-"
"166","Japan","10.2017","464","46","9.91","07.2019","245","56","22.86"
"167","Qatar","06.2016","41","4","9.76","-","-","-","-"
"168","Eswatini","09.2018","73","7","9.59","10.2018","30","12","40"
"169","Belize","11.2015","32","3","9.380000000000001","11.2015","14","3","21.43"
"170","Brunei Darussalam","01.2017","33","3","9.09","-","-","-","-"
"171","Kiribati","04.2020","45","4","8.890000000000001","-","-","-","-"
"172","Gambia (The)","04.2017","58","5","8.619999999999999","-","-","-","-"
"173","Central African Republic","03.2016","140","12","8.57","-","-","-","-"
"174","Iran (Islamic Republic of)","04.2016","208","17","8.17","-","-","-","-"
"175","Tonga","11.2017","27","2","7.41","-","-","-","-"
"176","Benin","04.2019","83","6","7.23","-","-","-","-"
"177","Kuwait","11.2016","63","4","6.35","-","-","-","-"
"178","Tuvalu","09.2019","16","1","6.25","-","-","-","-"
"179","Solomon Islands","04.2019","49","3","6.12","-","-","-","-"
"180","Marshall Islands","11.2019","33","2","6.06","-","-","-","-"
"181","Sri Lanka","08.2015","225","12","5.33","-","-","-","-"
"182","Lebanon","05.2018","128","6","4.69","-","-","-","-"
"183","Maldives","04.2019","87","4","4.6","-","-","-","-"
"184","Nigeria","02.2019","358","13","3.63","02.2019","109","8","7.34"
"185","Oman","10.2019","86","2","2.33","11.2019","86","15","17.44"
"186","Yemen","04.2003","301","1","0.33","04.2001","111","3","2.7"
"187","Micronesia (Federated States of)","03.2019","14","0","0","-","-","-","-"
"“","Papua New Guinea","07.2017","111","0","0","-","-","-","-"
"“","Vanuatu","03.2020","52","0","0","-","-","-","-"
"","Eritrea","02.1994","-","-","-","-","-","-","-"
"","Guyana","03.2020","69","-","-","-","-","-","-"
"","Haiti","10.2015","-","-","-","01.2017","10","0","0"
"Suspended","Sudan","-","-","-","-","-","-","-","-"
